date,real_outstanding_shares,rs_adjusted_os,Open,High,Low,Close,Volume,Dividends,Stock Splits,market_capitalization
2022-06-08,,15302047.466666667,32.5,34.5,31.0,32.0,2039652,0.0,0.0,489665518.93333334
2022-06-09,,15419948.2,31.75,32.0,29.5,30.0,1676548,0.0,0.0,462598446.0
2022-06-10,,15537848.933333334,28.25,30.25,28.0,28.5,1629412,0.0,0.0,442828694.6
2022-06-13,,15655749.666666668,25.0,27.75,25.0,26.25,1726656,0.0,0.0,410963428.75000006
2022-06-14,,15773650.4,26.75,27.0,25.5,26.75,1307312,0.0,0.0,421945148.2
2022-06-15,,15891551.133333333,28.0,29.25,27.0,29.0,1627776,0.0,0.0,460854982.8666667
2022-06-16,,16009451.866666667,28.25,32.0,27.5,31.25,2271520,0.0,0.0,500295370.8333334
2022-06-17,,16127352.6,31.0,34.75,30.25,33.0,2342340,0.0,0.0,532202635.8
2022-06-21,,16245253.333333334,34.75,40.75,34.75,38.0,4094140,0.0,0.0,617319626.6666667
2022-06-22,,16363154.066666666,41.25,42.75,37.75,40.0,3705112,0.0,0.0,654526162.6666666
2022-06-23,,16481054.8,38.0,39.25,34.0,36.5,2925296,0.0,0.0,601558500.2
2022-06-24,,16598955.533333333,36.0,36.5,34.25,36.5,1955676,0.0,0.0,605861876.9666667
2022-06-27,,16716856.266666666,38.0,38.0,32.5,32.75,2345704,0.0,0.0,547477042.7333333
2022-06-28,,16834757.0,31.25,31.75,29.0,30.5,2061272,0.0,0.0,513460088.5
2022-06-29,,16952657.733333334,29.25,29.25,27.5,28.25,2244068,0.0,0.0,478912580.9666667
2022-06-30,,17070558.46666667,30.25,30.5,25.5,25.5,5023376,0.0,0.0,435299240.90000004
2022-07-01,,17188459.2,24.25,27.5,22.5,27.0,2473276,0.0,0.0,464088398.4
2022-07-05,,17306359.933333334,26.25,26.5,24.25,24.75,1639584,0.0,0.0,428332408.35
2022-07-06,,17424260.666666668,25.25,25.75,25.0,25.5,926900,0.0,0.0,444318647.00000006
2022-07-07,,17542161.4,25.0,27.0,24.25,26.75,1485168,0.0,0.0,469252817.45
2022-07-08,,17660062.133333333,26.0,31.75,26.0,29.25,3025612,0.0,0.0,516556817.4
2022-07-11,,17777962.866666667,34.5,35.0,29.5,30.5,5399200,0.0,0.0,542227867.4333334
2022-07-12,,17895863.6,28.75,30.25,27.25,27.75,1868408,0.0,0.0,496610214.90000004
2022-07-13,,18013764.333333336,26.5,28.75,26.5,27.25,1243052,0.0,0.0,490875078.0833334
2022-07-14,,18131665.066666666,27.25,27.25,25.75,26.25,1229832,0.0,0.0,475956208.0
2022-07-15,,18249565.8,26.5,28.25,26.5,27.0,1221104,0.0,0.0,492738276.6
2022-07-18,,18367466.53333333,27.25,27.75,26.25,26.5,1290852,0.0,0.0,486737863.13333327
2022-07-19,,18485367.266666666,26.25,27.5,25.5,27.25,1456004,0.0,0.0,503726258.01666665
2022-07-20,,18603268.0,26.75,28.5,26.5,27.25,1114980,0.0,0.0,506939053.0
2022-07-21,,18721168.733333334,27.0,27.75,26.5,27.75,857944,0.0,0.0,519512432.35
2022-07-22,,18839069.46666667,27.0,27.0,25.0,25.5,1675568,0.0,0.0,480396271.40000004
2022-07-25,,18956970.2,25.5,25.75,25.0,25.5,826844,0.0,0.0,483402740.09999996
2022-07-26,,19074870.933333334,25.0,25.25,20.5,21.75,4139904,0.0,0.0,414878442.8
2022-07-27,,19192771.666666668,22.25,22.75,20.5,21.75,2170904,0.0,0.0,417442783.75
2022-07-28,,19310672.4,21.0,21.0,20.0,20.25,1793840,0.0,0.0,391041116.09999996
2022-07-29,,19428573.133333333,20.25,20.25,19.0,19.75,1632328,0.0,0.0,383714319.3833333
2022-08-01,,19546473.866666667,19.5,23.0,19.0,21.75,3075224,0.0,0.0,425135806.6
2022-08-02,,19664374.6,21.25,23.75,20.75,23.0,2148292,0.0,0.0,452280615.8
2022-08-03,,19782275.333333336,23.25,24.0,22.75,23.0,1680384,0.0,0.0,454992332.66666675
2022-08-04,,19900176.066666666,22.5,23.25,20.25,21.0,3151256,0.0,0.0,417903697.4
2022-08-05,,20018076.8,21.0,22.25,20.75,21.25,1261336,0.0,0.0,425384132.0
2022-08-08,,20135977.53333333,20.25,21.25,19.5,20.0,2976672,0.0,0.0,402719550.6666666
2022-08-09,,20253878.266666666,20.5,20.5,19.5,19.75,1507280,0.0,0.0,400014095.76666665
2022-08-10,509294481.0,20371779.0,20.0,20.5,19.5,20.25,2627772,0.0,0.0,412528524.75
2022-08-11,,20832846.7184466,20.5,20.75,19.75,20.5,2095608,0.0,0.0,427073357.7281553
2022-08-12,,21293914.436893202,20.25,21.5,19.5,20.75,3604700,0.0,0.0,441848724.56553394
2022-08-15,,21754982.155339807,21.25,23.25,21.25,22.75,4531324,0.0,0.0,494925844.0339806
2022-08-16,,22216049.87378641,22.75,22.75,20.5,22.25,3951724,0.0,0.0,494307109.6917476
2022-08-17,,22677117.59223301,21.5,21.75,20.75,21.0,3192908,0.0,0.0,476219469.4368932
2022-08-18,,23138185.31067961,21.0,21.0,20.0,20.25,1775272,0.0,0.0,468548252.5412621
2022-08-19,,23599253.029126212,20.0,20.25,18.75,18.75,2810536,0.0,0.0,442485994.2961165
2022-08-22,,24060320.747572817,19.75,20.25,17.5,17.75,3955368,0.0,0.0,427070693.2694175
2022-08-23,,24521388.466019418,17.75,18.5,16.75,17.0,1941476,0.0,0.0,416863603.9223301
2022-08-24,,24982456.18446602,17.5,18.0,17.25,17.5,2739328,0.0,0.0,437192983.2281553
2022-08-25,,25443523.90291262,18.0,18.0,15.75,16.75,3533424,0.0,0.0,426179025.3737864
